id,week_date,scraped_at,rank,model_id,model_name,provider,token_count,is_open_source,is_chinese
23,2026-03-30,2026-04-03T02:55:38.037805,1,labs/fusion,Fusion,labs,4790000000000,1,0
24,2026-03-30,2026-04-03T02:55:38.037805,2,xiaomi/mimo-v2-pro-20260318,Mimo V2 Pro,xiaomi,4790000000000,1,1
25,2026-03-30,2026-04-03T02:55:38.037805,3,qwen/qwen3.6-plus-preview:free,Qwen3.6 Plus Preview (free),qwen,1640000000000,1,1
26,2026-03-30,2026-04-03T02:55:38.037805,4,stepfun/step-3.5-flash:free,Step 3.5 Flash (free),stepfun,1380000000000,1,1
27,2026-03-30,2026-04-03T02:55:38.037805,5,minimax/minimax-m2.7-20260318,Minimax M2.7,minimax,1340000000000,1,1
28,2026-03-30,2026-04-03T02:55:38.037805,6,deepseek/deepseek-v3.2-20251201,Deepseek V3.2,deepseek,1210000000000,1,1
29,2026-03-30,2026-04-03T02:55:38.037805,7,anthropic/claude-4.6-opus-20260205,Claude Opus 4.6,anthropic,1020000000000,0,0
30,2026-03-30,2026-04-03T02:55:38.037805,8,anthropic/claude-4.6-sonnet-20260217,Claude Sonnet 4.6,anthropic,1010000000000,0,0
31,2026-03-30,2026-04-03T02:55:38.037805,9,google/gemini-3-flash-preview-20251217,Gemini 3 Flash Preview,google,979000000000,0,0
32,2026-03-30,2026-04-03T02:55:38.037805,10,z-ai/glm-5-turbo-20260315,GLM 5 Turbo,z-ai,900000000000,1,0
33,2026-03-30,2026-04-03T02:55:38.037805,11,x-ai/grok-4.1-fast,Grok 4.1 Fast,x-ai,820000000000,0,0
